Station,County
APALACHICOLA AP,Franklin
ARCADIA,Desoto
ARCHBOLD BIO STN,Highlands
AVON PARK 2 W,Highlands
BARTOW,Polk
BELLE GLADE,Palm Beach
BRADENTON 5 ESE,Manatee
BROOKSVILLE CHIN HILL,Hernando
BUSHNELL 1 E,Sumter
CANAL POINT USDA,Palm Beach
CHIPLEY,Washington
CLERMONT 9 S,Lake
CRESCENT CITY,Putnam
CRESTVIEW BOB SIKES AP,Okaloosa
CROSS CITY 1 E,Dixie
DAYTONA BEACH,Volusia
DAYTONA BEACH INTL AP,Volusia
DE FUNIAK SPRINGS 1 E,Walton
DELAND 1 SSE,Volusia
DESOTO CITY 8 SW,Highlands
DEVILS GARDEN,Hendry
EVERGLADES,Miami-Dade
FEDERAL POINT,Putnam
FERNANDINA BEACH,Nassau
FLAMINGO RS,Monroe
FORT DRUM,Okeechobee
FT GREEN 12 WSW,Hardee
FT LAUDERDALE,Broward
FT LAUDERDALE BEACH,Broward
FT MYERS PAGE FLD AP,Lee
FT PIERCE,St Lucie
GAINESVILLE RGNL AP,Alachua
GLEN ST MARY 1 W,Baker
HASTINGS 4NE,St Johns
HIALEAH,Miami-Dade
HIGH SPRINGS,Alachua
HILLSBOROUGH RIVER SP,Hillsborough
IMMOKALEE,Collier
INVERNESS 3 SE,Citrus
JACKSONVILLE INTL AP,Duval
JACKSONVILLE BEACH,Duval
JASPER,Hamilton
KEY WEST INTL AP,Monroe
KISSIMMEE 2,Osceola
LA BELLE,Hendry
LAKE CITY 2 E,Columbia
LISBON,Lake
LIVE OAK,Suwannee
MADISON,Madison
MAYO,Lafayette
MELBOURNE INTL AP,Brevard
MIAMI BEACH,Miami-Dade
MIAMI INTL AP,Miami-Dade
MONTICELLO 5 SE,Jefferson
MONTICELLO 10 SW,Jefferson
MOORE HAVEN LOCK 1,Glades
MTN LAKE,Polk
MYAKKA RIVER SP,Sarasota
NAPLES,Collier
NICEVILLE,Okaloosa
OASIS RS,Collier
OCALA,Marion
OKEECHOBEE,OkeeChobee
ORLANDO INTL AP,Orange
PANAMA CITY 5N,Bay
PARRISH,Manatee
PENSACOLA RGNL AP,Escambia
PERRINE 4W,Miami-Dade
PERRY,Taylor
PLANT CITY,Hillsborough
PUNTA GORDA 4 ESE,Charlotte
QUINCY 3 SSW,Gadsden
ROYAL PALM RS,Miami-Dade
ST AUGUSTINE LH,Saint Johns
SAINT LEO,Pasco
ST PETERSBURG AP,Pinellas
SANFORD,Seminole
STUART,Martin
TALLAHASSEE RGNL AP,Leon
TAMPA INTL AP,Hillsborough
TARPON SPGS SEWAGE PL,Pinellas
TITUSVILLE,Brevard
USHER TWR,Levy
VENICE,Sarasota
VERO BEACH INTL AP,Indian River
VERO BEACH 4SE,Indian River
WAUCHULA,Hardee
WEEKI WACHEE,Hernando
WEST PALM BEACH INTL AP,Palm Beach
WEWAHITCHKA,Gulf